Mod:Item:MetaData, Localized Name
minecraft:clay_ball, 粘土
minecraft:reeds, 甘蔗
minecraft:paper, 纸
minecraft:book, 书
minecraft:slime_ball, 粘液球
minecraft:chest_minecart, 运输矿车
minecraft:furnace_minecart, 动力矿车
minecraft:egg, 鸡蛋
minecraft:compass, 指南针
minecraft:fishing_rod, 钓鱼竿
minecraft:clock, 钟
minecraft:glowstone_dust, 萤石粉
minecraft:fish:0, 生鱼
minecraft:fish:1, 生鲑鱼
minecraft:fish:2, 小丑鱼
minecraft:fish:3, 河豚
minecraft:cooked_fished:0, 熟鱼
minecraft:cooked_fished:1, 熟鲑鱼
minecraft:dye:0, 墨囊
minecraft:dye:1, 玫瑰红
minecraft:dye:2, 仙人掌绿
minecraft:dye:3, 可可豆
minecraft:dye:4, 青金石
minecraft:dye:5, 紫色染料
minecraft:dye:6, 青色染料
minecraft:dye:7, 淡灰色染料
minecraft:dye:8, 灰色染料
minecraft:dye:9, 粉红色染料
minecraft:dye:10, 黄绿色染料
minecraft:dye:11, 蒲公英黄
minecraft:dye:12, 淡蓝色染料
minecraft:dye:13, 品红色染料
minecraft:dye:14, 橙色染料
minecraft:dye:15, 骨粉
minecraft:bone, 骨头
minecraft:sugar, 糖
minecraft:cake, 蛋糕
minecraft:bed, 床
minecraft:repeater, 红石中继器
minecraft:cookie, 曲奇
minecraft:filled_map:0, 地图
minecraft:shears, 剪刀
minecraft:melon, 西瓜
minecraft:pumpkin_seeds, 南瓜种子
minecraft:melon_seeds, 西瓜种子
minecraft:beef, 生牛肉
minecraft:cooked_beef, 牛排
minecraft:chicken, 生鸡肉
minecraft:cooked_chicken, 熟鸡肉
minecraft:rotten_flesh, 腐肉
minecraft:ender_pearl, 末影珍珠
minecraft:blaze_rod, 烈焰棒
minecraft:ghast_tear, 恶魂之泪
minecraft:gold_nugget, 金粒
minecraft:nether_wart, 地狱疣
minecraft:potion:0, 水瓶
minecraft:potion:8193, 再生药水
minecraft:potion:8225, 再生药水
minecraft:potion:8257, 再生药水
minecraft:potion:16385, 喷溅型 再生药水
minecraft:potion:16417, 喷溅型 再生药水
minecraft:potion:16449, 喷溅型 再生药水
minecraft:potion:8194, 迅捷药水
minecraft:potion:8226, 迅捷药水
minecraft:potion:8258, 迅捷药水
minecraft:potion:16386, 喷溅型 迅捷药水
minecraft:potion:16418, 喷溅型 迅捷药水
minecraft:potion:16450, 喷溅型 迅捷药水
minecraft:potion:8227, 抗火药水
minecraft:potion:8259, 抗火药水
minecraft:potion:16419, 喷溅型 抗火药水
minecraft:potion:16451, 喷溅型 抗火药水
minecraft:potion:8196, 剧毒药水
minecraft:potion:8228, 剧毒药水
minecraft:potion:8260, 剧毒药水
minecraft:potion:16388, 喷溅型 剧毒药水
minecraft:potion:16420, 喷溅型 剧毒药水
minecraft:potion:16452, 喷溅型 剧毒药水
minecraft:potion:8261, 治疗药水
minecraft:potion:8229, 治疗药水
minecraft:potion:16453, 喷溅型 治疗药水
minecraft:potion:16421, 喷溅型 治疗药水
minecraft:potion:8230, 夜视药水
minecraft:potion:8262, 夜视药水
minecraft:potion:16422, 喷溅型 夜视药水
minecraft:potion:16454, 喷溅型 夜视药水
minecraft:potion:8232, 虚弱药水
minecraft:potion:8264, 虚弱药水
minecraft:potion:16424, 喷溅型 虚弱药水
minecraft:potion:16456, 喷溅型 虚弱药水
minecraft:potion:8201, 力量药水
minecraft:potion:8233, 力量药水
minecraft:potion:8265, 力量药水
minecraft:potion:16393, 喷溅型 力量药水
minecraft:potion:16425, 喷溅型 力量药水
minecraft:potion:16457, 喷溅型 力量药水
minecraft:potion:8234, 迟缓药水
minecraft:potion:8266, 迟缓药水
minecraft:potion:16426, 喷溅型 迟缓药水
minecraft:potion:16458, 喷溅型 迟缓药水
minecraft:potion:8268, 伤害药水
minecraft:potion:8236, 伤害药水
minecraft:potion:16460, 喷溅型 伤害药水
minecraft:potion:16428, 喷溅型 伤害药水
minecraft:potion:8237, 水肺药水
minecraft:potion:8269, 水肺药水
minecraft:potion:16429, 喷溅型 水肺药水
minecraft:potion:16461, 喷溅型 水肺药水
minecraft:potion:8238, 隐身药水
minecraft:potion:8270, 隐身药水
minecraft:potion:16430, 喷溅型 隐身药水
minecraft:potion:16462, 喷溅型 隐身药水
minecraft:glass_bottle, 玻璃瓶
minecraft:spider_eye, 蜘蛛眼
minecraft:fermented_spider_eye, 发酵蛛眼
minecraft:blaze_powder, 烈焰粉
minecraft:magma_cream, 岩浆膏
minecraft:brewing_stand, 酿造台
minecraft:cauldron, 炼药锅
minecraft:ender_eye, 末影之眼
minecraft:speckled_melon, 闪烁的西瓜
minecraft:spawn_egg:50, 生成 爬行者
minecraft:spawn_egg:51, 生成 骷髅
minecraft:spawn_egg:52, 生成 蜘蛛
minecraft:spawn_egg:54, 生成 僵尸
minecraft:spawn_egg:55, 生成 史莱姆
minecraft:spawn_egg:56, 生成 恶魂
minecraft:spawn_egg:57, 生成 僵尸猪人
minecraft:spawn_egg:58, 生成 末影人
minecraft:spawn_egg:59, 生成 洞穴蜘蛛
minecraft:spawn_egg:60, 生成 蠹虫
minecraft:spawn_egg:61, 生成 烈焰人
minecraft:spawn_egg:62, 生成 岩浆怪
minecraft:spawn_egg:65, 生成 蝙蝠
minecraft:spawn_egg:66, 生成 女巫
minecraft:spawn_egg:90, 生成 猪
minecraft:spawn_egg:91, 生成 羊
minecraft:spawn_egg:92, 生成 牛
minecraft:spawn_egg:93, 生成 鸡
minecraft:spawn_egg:94, 生成 鱿鱼
minecraft:spawn_egg:95, 生成 狼
minecraft:spawn_egg:96, 生成 哞菇
minecraft:spawn_egg:98, 生成 豹猫
minecraft:spawn_egg:100, 生成 马
minecraft:spawn_egg:120, 生成 村民
minecraft:spawn_egg:301, 生成 Jungle Spider
minecraft:spawn_egg:302, 生成 Rosester
minecraft:spawn_egg:303, 生成 Glob
minecraft:spawn_egg:304, 生成 Phantom
minecraft:spawn_egg:305, 生成 Wasp
minecraft:spawn_egg:306, 生成 Bird
minecraft:spawn_egg:307, 生成 Pixie
minecraft:experience_bottle, 附魔之瓶
minecraft:fire_charge, 火焰弹
minecraft:writable_book, 书与笔
minecraft:written_book, 成书
minecraft:emerald, 绿宝石
minecraft:item_frame, 物品展示框
minecraft:flower_pot, 花盆
minecraft:carrot, 胡萝卜
minecraft:potato, 马铃薯
minecraft:baked_potato, 烤马铃薯
minecraft:poisonous_potato, 毒马铃薯
minecraft:map, 空地图
minecraft:golden_carrot, 金萝卜
minecraft:skull:0, 骷髅头颅
minecraft:skull:1, 凋灵骷髅头颅
minecraft:skull:2, 僵尸的头
minecraft:skull:3, 头
minecraft:skull:4, 爬行者的头
minecraft:carrot_on_a_stick, 萝卜钓竿
minecraft:nether_star, 下界之星
